"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"102",12100,7.5,26000,9.8,111554.17,6.62,6016.67,4.81,62.2,33,186,8.72,610,6.38,4220,9.4,2220,6.86,2490,12.94,2660,7.6,259,9.91,2500,10.27,462,10.98,2650,9.97,4880,11.2
"103",11200,7,25500,9.8,116379.17,6.73,6054.17,4.81,62.2,33,177,11.02,592,8.09,4150,9.1,2120,6.42,2490,12.52,2560,7.14,267,9.39,2390,12.07,433,12.82,2540,13.18,4840,11.5
"104",11100,7,24200,10.4,91520.83,6.8,6058.33,4.79,62.2,33,180,9.62,567,6.38,3950,9,2050,7.31,2460,13.35,2470,8.08,255,10.44,2240,10.27,417,10.98,2500,11.21,4740,10.8
"105",11300,7,25000,10.1,102941.67,6.81,6020.83,4.82,62.2,33,175,8.28,559,6.91,3710,9,1970,7.31,2450,13.35,2340,8.08,246,10.44,2080,10.86,464,11.58,2370,9.37,4710,11.4
"106",10500,6.5,24500,10.1,107625,6.95,6025,4.9,62.2,33,167,9.62,549,8.72,3600,9.4,1920,8.77,2450,14.58,2250,9.59,233,12.08,1870,12.69,446,13.45,2320,11.21,4700,12.3
"107",10300,7.5,23800,10.8,96241.67,7.14,9591.67,4.88,62.2,33,164,12.89,526,13.06,3490,10,1960,10.86,1680,16.18,2230,11.73,211,14.32,1760,16.45,436,17.26,2320,15.89,4630,13
"108",10600,9,23100,11.5,87516.67,7.19,9616.67,4.9,62.2,33,160,12.89,492,13.06,3460,10.8,2100,13.75,1700,18.22,2350,14.64,203,17.26,1760,16.45,408,17.26,2180,15.89,4550,13.8
"109",11300,9.5,23800,11.7,81645.83,7.16,9629.17,4.88,62.2,33,156,13.79,467,14.61,3590,11.4,2270,13.49,2450,18.04,2480,14.39,193,17.01,1650,17.66,388,18.48,2080,17.23,4540,13.9
"110",12000,9.5,24700,12.1,96950,7.21,9625,4.84,62.2,33,155,14.66,444,15.39,3770,12,2550,14,2450,18.39,2670,14.9,199,17.51,1630,18.24,355,19.07,2000,18.52,4530,13.9
"111",13000,10,26100,12.7,88720.83,7.45,9612.5,4.84,62.2,33,151,15.48,424,17.66,3880,12.5,3070,14.73,2180,18.9,3050,15.63,205,18.24,1600,19.9,308,20.74,1920,19.75,4510,14.3
"112",14600,9.5,28000,12.8,80104.17,7.42,9608.33,4.89,62.2,33,146,10.09,403,12.29,4240,12.7,3740,15.2,2450,19.22,3490,16.1,212,18.71,1480,15.83,289,16.64,1840,11.86,4480,13.4
"113",15200,8,29500,12,95154.17,7.29,9570.83,4.86,62.2,33,145,10.09,387,10.08,4840,12.6,3920,10.86,2450,16.18,3510,11.73,212,14.32,1370,13.95,270,14.73,1810,11.86,4460,12.6
"114",15500,8,30900,11.8,89729.17,7.57,7454.17,4.87,62.2,33,147,10.55,372,9.39,5190,11.8,3690,9.54,2460,15.19,3340,10.38,210,12.92,1420,13.32,272,14.09,1820,12.51,4440,12
